City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Lebu,CL,-37.6167,-73.65,58.05,87,95,14.25,overcast clouds
79,Flinders,AU,-34.5833,150.8552,75.2,67,19,4.52,few clouds
80,Andenes,NO,69.3143,16.1194,31.98,74,0,23.02,clear sky
81,Souillac,MU,-20.5167,57.5167,84.58,70,75,11.5,broken clouds
82,Mezhdurechensk,RU,53.6942,88.0603,19.94,82,99,2.93,overcast clouds
83,Hammerfest,NO,70.6634,23.6821,31.73,69,0,11.5,clear sky
84,Kaihua,CN,23.3687,104.28,63.64,59,19,12.86,few clouds
85,Tommot,RU,58.9564,126.2925,1.67,97,100,1.41,overcast clouds
86,Rikitea,PF,-23.1203,-134.9692,78.91,75,100,14.52,overcast clouds
87,Vila Velha,BR,-20.3297,-40.2925,76.95,87,20,9.22,few clouds
88,Tazovskiy,RU,67.4667,78.7,-5.49,91,100,14.07,overcast clouds
89,Narragansett,US,41.4501,-71.4495,43.02,84,100,9.22,moderate rain
90,Pevek,RU,69.7008,170.3133,-28.26,98,36,2.68,scattered clouds
91,Batagay-Alyta,RU,67.8006,130.4114,-30.06,95,68,3.83,broken clouds
92,Aden,YE,12.7794,45.0367,78.46,70,72,16.67,broken clouds
93,Torbay,CA,47.6666,-52.7314,25.39,90,75,12.66,broken clouds
94,Biankouma,CI,7.7391,-7.6138,71.19,35,32,1.9,scattered clouds
95,Plettenberg Bay,ZA,-34.0527,23.3716,75.04,51,0,5.14,clear sky
96,San Cristobal,VE,7.7669,-72.225,64.76,83,81,2.04,broken clouds
97,Castro,BR,-24.7911,-50.0119,61.47,90,100,5.44,overcast clouds
98,Ewa Beach,US,21.3156,-158.0072,75.15,70,20,8.05,few clouds
99,Saskylakh,RU,71.9167,114.0833,-5.6,88,98,10.58,overcast clouds
100,Paamiut,GL,61.994,-49.6678,-4.63,84,100,10.54,light snow
101,Baruun-Urt,MN,46.6806,113.2792,14.52,64,31,18.61,scattered clouds
102,Mantua,IT,45.1667,10.7833,45.7,63,0,3.0,clear sky
