City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Harboore,DK,2022-02-03 08:49:19,56.6175,8.1807,44.19,98,100,16.84
67,Lompoc,US,2022-02-03 08:46:18,34.6391,-120.4579,50.31,61,0,3.44
68,Sao Joao Da Barra,BR,2022-02-03 08:49:20,-21.6403,-41.0511,72.43,94,100,5.03
69,San Carlos De Bariloche,AR,2022-02-03 08:48:07,-41.1456,-71.3082,56.95,82,40,2.3
70,Carnarvon,AU,2022-02-03 08:49:22,-24.8667,113.6333,86.07,66,0,19.57
71,New Norfolk,AU,2022-02-03 08:49:23,-42.7826,147.0587,59.92,56,78,1.01
72,Bilibino,RU,2022-02-03 08:49:24,68.0546,166.4372,-5.55,61,0,4.99
73,Suluq,LY,2022-02-03 08:49:24,31.6682,20.2521,57.51,48,36,28.61
74,Arkhangelsk,RU,2022-02-03 08:49:25,64.5401,40.5433,12.31,85,100,2.24
75,Vao,NC,2022-02-03 08:49:26,-22.6667,167.4833,79.83,83,0,8.57
76,Santiago Del Estero,AR,2022-02-03 08:49:27,-27.7951,-64.2615,73.08,85,100,1.32
77,Kapaa,US,2022-02-03 08:49:28,22.0752,-159.319,71.58,72,0,5.75
78,Hasaki,JP,2022-02-03 08:49:29,35.7333,140.8333,46.69,41,30,4.59
79,Moffat,GB,2022-02-03 08:49:29,55.3323,-3.4454,47.61,95,100,9.53
80,Umred,IN,2022-02-03 08:49:30,20.85,79.3333,86.29,20,1,13.71
81,Rikitea,PF,2022-02-03 08:49:31,-23.1203,-134.9692,77.47,78,100,9.8
82,Arenapolis,BR,2022-02-03 08:49:32,-14.4503,-56.8461,69.78,98,91,3.62
83,Keskin,TR,2022-02-03 08:49:33,39.6731,33.6136,32.31,99,100,2.8
84,Clyde River,CA,2022-02-03 08:49:34,70.4692,-68.5914,-16.37,76,100,27.63
85,Yumen,CN,2022-02-03 08:49:34,40.2833,97.2,28.18,35,23,8.79
86,Marion,US,2022-02-03 08:49:35,39.7684,-86.1555,29.79,89,100,13.8
87,Tamandare,BR,2022-02-03 08:49:36,-8.7597,-35.1047,79.59,74,88,8.43
88,Avarua,CK,2022-02-03 08:49:37,-21.2078,-159.775,78.85,89,20,12.66
89,Dunedin,NZ,2022-02-03 08:46:40,-45.8742,170.5036,57.79,81,100,5.01
90,Fort Saint James,CA,2022-02-03 08:49:38,54.4333,-124.25,3.65,98,100,2.08
