City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
128,Vila Franca Do Campo,PT,59.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
129,Tura,IN,70.11,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
130,Jahanabad,IN,75.76,clear sky,25.2167,84.9833,TENI BIGHA
132,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
136,Lompoc,US,59.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
138,Carutapera,BR,75.78,overcast clouds,-1.195,-46.02,Lidera
140,Sompeta,IN,78.67,few clouds,18.9333,84.6,Netaji's Home
141,Fernie,CA,40.6,overcast clouds,49.5,-115.0687,Fernie Stanford Resort
147,Nikolskoye,RU,31.89,snow,59.7035,30.7861,Tourist House - Sablino
149,Huty,UA,34.0,snow,50.1332,35.3439,
150,Broome,US,32.2,overcast clouds,42.2506,-75.833,Chenango Valley State Park
151,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
152,Grindavik,IS,30.67,light snow,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
153,Jacareacanga,BR,72.1,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
154,Bardiyah,LY,58.46,broken clouds,31.7561,25.0865,بورتو بردية
156,Redmond,US,46.51,scattered clouds,47.674,-122.1215,Seattle Marriott Redmond
157,Puerto Maldonado,PE,68.88,broken clouds,-12.6,-69.1833,Wasai Hotel
159,Itarema,BR,77.45,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
160,Ati,TD,74.57,few clouds,13.2154,18.3353,
161,Brae,GB,42.71,overcast clouds,60.3964,-1.353,Busta House Hotel
162,Kaifeng,CN,47.26,overcast clouds,34.7911,114.3483,Pullman Kaifeng Jianye
163,Inegol,TR,43.88,light rain,40.0781,29.5133,Hotel Park Inegöl
164,Traiguen,CL,51.08,scattered clouds,-38.25,-72.6833,Hospedaje Sonnia
165,Port Elizabeth,ZA,73.69,clear sky,-33.918,25.5701,39 On Nile Guest House
167,Tsevie,TG,79.68,scattered clouds,6.4261,1.2133,Hotel Melissa
169,Nantucket,US,48.31,moderate rain,41.2835,-70.0995,Jared Coffin House
170,Camacha,PT,60.22,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
173,Asyut,EG,55.58,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
175,Bereda,ES,42.42,clear sky,43.2686,-7.5406,Pazo de Verdes
176,Prince Rupert,CA,42.49,light rain,54.3161,-130.3201,Crest Hotel
177,Fortuna,US,46.65,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
180,Lamar,US,39.52,clear sky,33.6668,-95.5836,Kings Inn Paris TX
183,Bonthe,SL,75.24,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
184,Harper,LR,79.54,moderate rain,4.375,-7.7169,Screensaver
185,Biak,ID,77.94,overcast clouds,-0.9131,122.8766,Penginapan Kim
186,Veracruz,MX,60.87,overcast clouds,19.3333,-96.6667,El Carrizal
188,Zlitan,LY,58.89,scattered clouds,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
189,Key West,US,73.4,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
190,Roma,US,30.43,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
191,Waipawa,NZ,65.44,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
192,Faya,SA,61.32,clear sky,18.3851,42.4509,املاك خالد الشعشوع
195,Kodiak,US,35.11,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
199,Sychevka,RU,30.29,overcast clouds,55.8252,34.2736,
200,Belmonte,BR,79.3,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
202,Bathsheba,BB,74.01,few clouds,13.2167,-59.5167,Atlantis Hotel
203,Esmeraldas,BR,68.86,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
204,Sardarshahr,IN,72.95,clear sky,28.4333,74.4833,Hotel Moti Mahal
207,Puerto Rico,AR,56.16,clear sky,-26.796,-55.024,Hotel Cabañas del Prado
208,Sur,OM,71.74,clear sky,22.5667,59.5289,Sur Plaza Hotel
210,Ketchikan,US,41.47,moderate rain,55.3422,-131.6461,Snow's Cove Lodge
211,Tiznit,MA,60.17,clear sky,29.5833,-9.5,
213,Arraial Do Cabo,BR,74.88,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
214,Illapel,CL,67.01,clear sky,-31.6308,-71.1653,Hotel Londres
215,Fomboni,KM,78.64,moderate rain,-12.28,43.7425,Auberge les abou
217,Deming,US,38.25,clear sky,32.2687,-107.7586,Best Western Deming Southwest Inn
218,Geilo,NO,32.4,few clouds,60.5333,8.2076,Havsdalsgrenda Geilo
221,Taltal,CL,64.74,scattered clouds,-25.4,-70.4833,Residencial Karime
224,Necochea,AR,51.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
226,Cidreira,BR,64.24,clear sky,-30.1811,-50.2056,Hotel Castelo
227,Adrar,MR,61.16,broken clouds,20.5022,-10.0711,
228,Rotnes,NO,36.52,broken clouds,60.0571,10.8614,Ditt rom
231,Beyneu,KZ,32.02,broken clouds,45.3167,55.2,NUR
232,Mastic Beach,US,39.25,moderate rain,40.7668,-72.8521,Brushwood House by Smith Point Beach
233,Marzuq,YE,69.49,scattered clouds,14.4,46.4667,
234,Constitucion,CL,59.54,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
235,Santa Cruz,BO,74.66,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
237,Marawi,PH,72.64,overcast clouds,7.9986,124.2928,Derogongan Residence
239,Huarmey,PE,70.34,overcast clouds,-10.0681,-78.1522,Hotel Miramar
240,Juneau,US,37.4,light rain,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
242,Hohhot,CN,32.29,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
244,Awbari,LY,60.4,broken clouds,26.5921,12.7805,فندق أوباري
251,Goreloye,RU,32.88,light snow,52.937,41.5043,Berendey
252,Shieli,KZ,36.23,overcast clouds,44.1667,66.75,Gostinitsa Aybek Shieli
254,Vila Do Maio,CV,65.19,clear sky,15.1333,-23.2167,Hotel Marilu
255,Gisborne,NZ,68.95,overcast clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
256,Carbonia,IT,38.05,clear sky,39.1672,8.5222,Lu 'Hotel
257,Vestmannaeyjar,IS,30.34,snow,63.4427,-20.2734,Glamping & Camping
261,Coruripe,BR,79.88,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
262,Lagunas,PE,70.86,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
263,Oum Hadjer,TD,73.65,clear sky,13.2954,19.6966,
265,Concepcion,CL,55.2,clear sky,-36.827,-73.0498,Hotel El Araucano
266,Itoman,JP,69.4,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
267,Sezemice,CZ,38.44,clear sky,50.0665,15.8527,Hotel Hurka
268,Cabo San Lucas,MX,67.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
270,Lucapa,AO,73.13,moderate rain,-8.4192,20.7447,Residência Ulisses Dos Santos
272,Ahuimanu,US,74.46,few clouds,21.4447,-157.8378,Paradise Bay Resort
273,Makakilo City,US,73.29,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
276,Mahajanga,MG,77.02,moderate rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
278,Freetown,SL,76.26,overcast clouds,8.484,-13.2299,The Country Lodge Hotel
280,Ponta Do Sol,PT,63.23,clear sky,32.6667,-17.1,Hotel do Campo
281,Were Ilu,ET,61.92,overcast clouds,10.6,39.4333,
282,Bandarbeyla,SO,79.21,broken clouds,9.4942,50.8122,JABIR HOTEL
285,Ahipara,NZ,73.92,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
286,Puerto Del Rosario,ES,67.68,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
287,Ribeira Grande,PT,59.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
288,Killarney,IE,52.9,overcast clouds,52.05,-9.5167,Cahernane House Hotel - Killarney Hotel
289,Pisco,PE,66.02,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
290,Shimoda,JP,48.56,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
292,The Valley,AI,76.86,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
293,Kosonsoy,UZ,39.76,overcast clouds,41.2561,71.5508,"Гостиница ""Goldstar'"
294,Asfi,MA,64.81,clear sky,32.2994,-9.2372,Hôtel Abda
297,Sao Filipe,CV,71.55,clear sky,14.8961,-24.4956,Hotel Xaguate
298,Lobez,PL,38.32,overcast clouds,53.6392,15.6213,Hotel i Restauracja Świętoborzec
299,Rodrigues Alves,BR,68.58,light rain,-7.738,-72.6509,Pousada Aconchego
300,Baft,IR,43.79,clear sky,29.234,56.6057,Paeez Hotel & restaurant
301,Roanoke Rapids,US,37.09,overcast clouds,36.4615,-77.6542,Hampton Inn Roanoke Rapids
302,Golden,US,39.78,clear sky,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
303,Lusambo,CD,72.91,overcast clouds,-4.9667,23.45,
305,Alekseyevka,RU,33.12,snow,50.6309,38.6903,Apartment on Ploshchad Pobedy
306,Sao Joao Da Barra,BR,75.18,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
307,Jining,CN,45.73,overcast clouds,35.405,116.5814,Yunhe Star Hotel
308,Copiapo,CL,64.33,clear sky,-27.3667,-70.3333,San Francisco de La Selva
310,Te Anau,NZ,62.62,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
313,Northam,GB,51.39,few clouds,51.0333,-4.2167,Durrant House Hotel
314,Tabou,CI,79.41,light rain,4.423,-7.3528,hotêl doufoulougou
315,Gazanjyk,TM,48.18,clear sky,39.2446,55.5154,Railway motel
319,North Bend,US,48.92,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
320,Seoul,KR,42.19,clear sky,37.5683,126.9778,LOTTE Hotel Seoul
321,Itaobim,BR,69.33,overcast clouds,-16.5667,-41.8333,
323,Svetlyy,RU,37.45,light rain,54.675,20.1347,"Gostinitsa-Kafe, Alena"
324,Luganville,VU,79.68,moderate rain,-15.5333,167.1667,The Espiritu Hotel
325,Hualmay,PE,69.6,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
326,Wawa,NG,78.64,few clouds,9.9022,4.4192,
327,Serro,BR,63.72,overcast clouds,-18.6047,-43.3794,Pousada Mariana
329,Penapolis,BR,66.88,broken clouds,-21.4197,-50.0775,Bigs Hotel
330,Kahului,US,73.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
331,Atar,MR,67.37,broken clouds,20.5169,-13.0499,Oumou Elghoura
332,Collie,AU,76.53,scattered clouds,-33.3667,116.15,Collie Ridge
334,Uyuni,BO,50.83,scattered clouds,-20.4597,-66.825,Hostal La Magia de Uyuni
335,Dinkelsbuhl,DE,38.39,overcast clouds,49.0694,10.3199,Goldenes Lamm
336,Los Llanos De Aridane,ES,60.55,clear sky,28.6585,-17.9182,Valle Aridane
337,Laguna,US,55.94,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
339,Ajdabiya,LY,60.87,clear sky,30.7554,20.2263,Almadina Hotel
341,Sitka,US,44.49,light rain,57.0531,-135.33,Westmark Sitka
342,Port Pirie,AU,79.0,light rain,-33.1833,138.0167,John Pirie Motor Inn
344,Bella Union,UY,59.02,clear sky,-30.2752,-57.6007,Saville Free Shop
346,Port Hardy,CA,44.76,light rain,50.6996,-127.4199,Airport Inn-Port Hardy
348,Oeiras,BR,72.9,overcast clouds,-7.0253,-42.1311,Hotel SESC Oeiras
349,Santiago,CL,70.99,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
350,Dakoro,NE,67.91,clear sky,14.5106,6.765,Shagon mai liverpool
351,Touros,BR,76.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
352,Leticia,CO,71.51,light rain,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
354,Thai Binh,VN,63.95,overcast clouds,20.45,106.3333,Sweden Hotel
357,Pajan,EC,72.1,moderate rain,-1.5667,-80.4167,Cecadel
358,Doctor Arroyo,MX,41.05,overcast clouds,23.6667,-100.1833,Hotel Plaza
359,Hershey,US,35.01,clear sky,40.2859,-76.6503,Days Inn by Wyndham Hershey
360,Tuatapere,NZ,52.83,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
363,Hanna,CA,33.85,clear sky,51.6334,-111.9018,West View Motel
364,Kijang,KR,43.41,clear sky,35.2442,129.2139,Samyang Beach Villa
367,Busayra,JO,53.46,few clouds,30.7376,35.6078,Matan Eco Villege
368,Fukue,JP,47.64,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
370,Zimovniki,RU,38.12,overcast clouds,47.1483,42.4633,"Dom Priyezzhikh, Gostinitsa"
371,Strathmore,CA,38.82,clear sky,51.0501,-113.3852,Wheatland Hotel
373,Galveston,US,49.96,scattered clouds,29.3669,-94.9669,Crystal Suites
374,Ponoka,CA,35.11,clear sky,52.6768,-113.5815,Ponoka Stampeder Inn
375,Klaksvik,FO,32.92,overcast clouds,62.2266,-6.589,Airbnb rooms
377,Unai,BR,68.11,overcast clouds,-16.3575,-46.9061,Hotel Regente
379,Sao Mateus Do Sul,BR,60.8,overcast clouds,-25.8742,-50.3828,Hotel Dom Leopoldo
380,Taiyuan,CN,39.06,clear sky,37.8694,112.5603,Jinjiang Inn
382,Qandala,SO,78.96,clear sky,11.472,49.8728,
383,Maragogi,BR,77.04,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
384,Komsomolskiy,UZ,44.02,mist,40.4272,71.7189,Ikathouse
389,Never,FR,32.65,clear sky,46.9896,3.159,Hôtel Kyriad Nevers Centre
391,Moctezuma,MX,48.51,clear sky,29.8,-109.6667,Hotel Lobohombo
392,Mo I Rana,NO,31.32,shower snow,66.3128,14.1428,Babettes Hotell
393,Raudeberg,NO,38.07,overcast clouds,61.9875,5.1352,Nordre Silda.
396,Cerritos,US,68.27,clear sky,33.8583,-118.0648,Sheraton Cerritos Hotel
398,Arvika,SE,41.61,broken clouds,59.6553,12.5852,Clarion Collection Hotel Bristol
399,Puerto Penasco,MX,62.69,clear sky,31.3167,-113.5333,Playa Bonita Resort
401,Alassio,IT,55.49,clear sky,44.0039,8.1671,Hotel Toscana
402,Jumla,NP,46.22,clear sky,29.2747,82.1838,Royal Garden Hotel
408,Hasaki,JP,43.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
409,Lagoa,PT,59.13,overcast clouds,39.05,-27.9833,Casa Das Faias
410,Havre,FR,48.6,overcast clouds,49.5833,0.3333,gite bois jourdain
412,Bayshore Gardens,US,56.14,clear sky,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
413,Pineville,US,34.32,clear sky,31.3224,-92.4343,"Country Inn & Suites by Radisson, Pineville, LA"
414,Launceston,AU,74.84,broken clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
417,Newport,GB,52.25,overcast clouds,51.5877,-2.9984,ibis budget Newport
419,Amarante Do Maranhao,BR,70.16,overcast clouds,-5.5667,-46.7422,Hotéis Caçulinha
420,Rio Gallegos,AR,50.05,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
422,Jasper,US,38.82,clear sky,37.2001,-94.3502,Guest House Motel
427,Pemangkat,ID,79.43,overcast clouds,1.1667,108.9667,Ramah Kost KITA
428,La Palma,US,68.31,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
430,Hervey Bay,AU,78.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
431,Nalut,LY,52.16,clear sky,30.3333,10.85,
432,Cedar City,US,31.39,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
434,Grand-Santi,GF,70.74,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
436,Curvelo,BR,67.93,moderate rain,-18.7564,-44.4308,Pontal Plaza Hotel
438,Freeport,US,38.41,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
439,Itororo,BR,68.81,overcast clouds,-15.1169,-40.0703,Hotel Indiana
442,Madison,US,35.76,clear sky,34.7334,-86.5667,Embassy Suites by Hilton Huntsville Hotel & Spa
443,Ulladulla,AU,72.77,scattered clouds,-35.35,150.4667,Sandpiper Motel
444,Porto Walter,BR,68.85,broken clouds,-8.2686,-72.7439,Secretaria de saúde
446,Las Palmas,ES,59.79,clear sky,28.4204,-14.0131,Casillas De Morales 59.
447,Port Lincoln,AU,68.9,clear sky,-34.7333,135.8667,Port Lincoln Hotel
450,Mayo,US,36.95,mist,38.8876,-76.5119,Resorts Resource Group International
451,Moron,AR,64.96,clear sky,-34.6534,-58.6198,Hotel Morón
452,Ermoupolis,GR,55.29,broken clouds,37.4423,24.9425,Ploes
453,Liwale,TZ,75.49,light rain,-9.7667,37.9333,Samoma lodge
454,Kirakira,SB,79.61,light rain,-10.4544,161.9205,SanBiz Lodge
456,Santa Maria,BR,56.88,clear sky,-29.6842,-53.8069,Hotel Morotin
457,Bodden Town,KY,73.92,clear sky,19.2833,-81.25,Will T Place
458,Challapata,BO,43.0,scattered clouds,-18.9,-66.7667,HOSTAL MARIAN
460,Ibotirama,BR,74.21,overcast clouds,-12.1853,-43.2206,Serra do Rio Hotel
461,Mormugao,IN,77.86,few clouds,15.4,73.8,Coconut Creek Resort
462,Portland,US,45.03,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
465,Port Macquarie,AU,72.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
466,Praia,CV,64.94,few clouds,14.9215,-23.5087,LT Aparthotel
467,Bloemfontein,ZA,77.72,clear sky,-29.1211,26.214,aha Bloemfontein Hotel
468,Dubrovytsya,UA,32.9,overcast clouds,51.5744,26.565,Druzhba
470,Sinnamary,GF,76.55,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
471,Abu Samrah,SY,55.83,scattered clouds,35.3029,37.1841,
472,Kaitangata,NZ,58.93,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
473,Dunedin,NZ,57.79,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
477,Ruteng,ID,70.52,moderate rain,-8.6136,120.4721,Hotel FX 72
482,Waddan,LY,56.41,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
483,Durazno,UY,54.93,clear sky,-33.4131,-56.5006,Hotel Santa Cristina
484,Sistranda,NO,40.89,overcast clouds,63.7256,8.834,Hotell Frøya
485,Lanquin,GT,63.12,broken clouds,15.5667,-89.9667,Yaxlik River Lodge
486,Lazaro Cardenas,MX,70.0,clear sky,17.9583,-102.2,quinta antigua
487,Kyrnasivka,UA,34.09,overcast clouds,48.5955,28.979,
488,Antofagasta,CL,61.88,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
492,Saint-Georges,GD,75.76,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
493,Iquitos,PE,71.64,light rain,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
494,Rock Sound,BS,74.25,few clouds,24.9,-76.2,Pink Corral Bay Property
495,Rawson,AR,74.73,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
499,Mulege,MX,59.49,clear sky,26.8833,-111.9833,Casa Granada
500,Vao,NC,79.84,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
502,Byron Bay,AU,76.87,clear sky,-28.65,153.6167,Backpackers Inn
506,Belize,BZ,67.24,few clouds,17.25,-88.75,Villa San Juan
508,Presidencia Roque Saenz Pena,AR,61.57,clear sky,-26.7852,-60.4388,Hotel Gualok
509,Whitianga,NZ,75.02,overcast clouds,-36.8333,175.7,Beachside Resort Whitianga
510,Imperia,IT,48.42,clear sky,43.9667,7.7833,La Stregatta
511,Rengo,CL,58.03,clear sky,-34.4167,-70.8667,Hostal Cartagena
512,Bensonville,LR,76.55,overcast clouds,6.4461,-10.6125,Moinga
513,Porbandar,IN,75.52,clear sky,21.6422,69.6093,Lords Inn Porbandar
514,Wellington,NZ,68.77,broken clouds,-41.2866,174.7756,CityLife Wellington
515,Half Moon Bay,US,57.61,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
519,Lata,PT,50.05,clear sky,40.1629,-8.3327,Casa Maquia
522,Moerai,PF,79.48,light rain,-22.4333,-151.3333,Le Manotel
523,Grimshaw,CA,32.83,few clouds,56.1834,-117.6027,Coast Grimshaw Hotel & Suites
